,TIME,USER
1024,585.36713,-103
1026,585.38348,17
1028,585.40009,-11
1030,585.41650,64
1031,585.43359,64
1032,585.44934,64
1033,585.47198,64
1034,585.48419,64
1035,585.50543,64
1036,585.51489,64
1037,585.53143,64
1038,585.54779,64
1039,585.56421,64
1040,585.58282,64
1041,585.59717,64
1042,585.61395,64
1043,585.63074,64
1044,585.64636,64
1045,585.66302,64
1046,585.67944,64
1047,585.69562,64
1048,585.71210,64
1049,585.72882,64
1050,585.74548,64
1051,585.76154,64
1052,585.77802,64
1053,585.79419,64
1054,585.81073,64
1055,585.82770,64
1056,585.84357,64
1057,585.86072,64
1058,585.87646,64
1059,585.89325,64
1060,585.90985,64
1061,585.92621,64
1062,585.94501,64
1063,585.98895,64
1064,585.99731,64
1065,586.00256,64
1066,586.00781,64
1067,586.02441,64
1068,586.04108,64
1069,586.05786,64
1070,586.08081,64
1072,586.09167,40
1074,586.10645,69
1076,586.12299,66
1078,586.13947,8
1080,586.18170,69
1082,586.18408,80
1084,586.18970,84
1086,586.21014,83
1088,586.22137,34
1090,586.23816,114
1092,586.25421,500
1094,586.27570,138
1095,586.28705,138
1097,586.30347,500
1099,586.32001,500
1101,586.33673,500
1103,586.35303,80
1105,586.36938,32
1107,586.38568,-19
1109,586.40271,71
1111,586.41858,500
1113,586.43500,500
1115,586.45148,137
1117,586.46777,104
1119,586.48431,128
1120,586.50067,128
1121,586.51715,128
1122,586.53363,128
1123,586.55011,128
1124,586.56653,128
1125,586.58289,128
1126,586.59930,128
1128,586.61578,64
1130,586.63251,50
1132,586.64886,3
1134,586.66565,-68
1136,586.68170,-54
1138,586.69788,-44
1140,586.71429,-45
1142,586.73071,-216
1144,586.74731,-237
1146,586.76349,-236
1148,586.77991,-148
1150,586.79651,-75
1152,586.81335,-81
1154,586.82928,-74
1156,586.84576,-53
1158,586.86444,-87
1160,586.87897,-83
1162,586.89563,44
1164,586.91156,75
1166,586.92938,41
1168,586.94446,8
1169,586.96100,8
1171,586.97791,20
1173,586.99347,7
1174,587.00989,7
1175,587.02704,7
1176,587.04309,7
1177,587.05920,7
1178,587.09229,7
1179,587.10858,7
1180,587.12494,7
1182,587.14160,-60
1184,587.15808,-6
1186,587.19586,43
1188,587.19922,108
1189,587.20703,108
1191,587.22351,500
1193,587.24017,500
1195,587.25635,500
1197,587.28766,500
1199,587.29840,500
1201,587.30573,500
1203,587.32202,500
1205,587.33850,500
1207,587.35504,500
1209,587.37152,500
1211,587.38794,500
1213,587.40424,135
1215,587.42078,36
1217,587.43719,38
1219,587.45349,55
1221,587.46991,-17
1223,587.48676,-107
1225,587.50677,-135
1227,587.51917,-181
1229,587.53564,-199
1230,587.55219,-199
1231,587.56848,-199
1232,587.58533,-199
1233,587.60138,-199
1234,587.61780,-199
1236,587.63422,-123
1238,587.65076,-36
1240,587.66705,-27
1242,587.68347,55
1244,587.70105,25
1246,587.71631,8
1248,587.73291,500
1250,587.74927,500
1252,587.76581,500
1254,587.78204,-39
1256,587.79858,80
1258,587.81647,41
1260,587.83136,-23
1262,587.84784,-18
1264,587.86456,53
1266,587.88074,43
1268,587.93225,61
1270,587.96576,-21
1272,588.02698,-41
1274,588.03101,3
1275,588.03711,3
1276,588.04028,3
1277,588.04364,3
1278,588.04846,3
1279,588.06146,3
1280,588.07837,3
1282,588.09460,22
1284,588.11084,72
1286,588.12708,27
1288,588.14349,72
1290,588.16034,99
1292,588.17664,75
1294,588.19312,100
1296,588.20935,69
1298,588.22565,123
1300,588.24213,500
1302,588.25867,98
1304,588.27783,56
1306,588.29138,53
1308,588.30774,85
1310,588.32422,60
1312,588.34070,9
1314,588.35724,-42
1316,588.37366,48
1318,588.38989,500
1320,588.40643,500
1322,588.42273,500
1324,588.43939,500
1326,588.45581,-269
1327,588.47217,-269
1328,588.48920,-269
1329,588.50488,-269
1330,588.52142,-269
1332,588.53772,-258
1334,588.55426,-471
1336,588.57074,-389
1338,588.59021,-408
1340,588.60382,-325
1342,588.61993,-246
1344,588.63647,-17
1346,588.65326,77
1348,588.66937,38
1350,588.68604,72
1352,588.70264,74
1354,588.71851,91
1356,588.73505,27
1358,588.75171,19
1360,588.76794,106
1362,588.78430,59
1364,588.80078,27
1366,588.81854,38
1368,588.83356,66
1370,588.85010,71
1372,588.86652,41
1374,588.88275,124
1376,588.89935,72
1378,588.91571,90
1380,588.93268,87
1381,588.94849,87
1382,588.96808,87
1384,588.98273,82
1386,589.00482,109
1388,589.01538,33
1390,589.03082,54
1392,589.04797,-6
1394,589.06360,69
1396,589.08014,20
1398,589.09631,27
1400,589.11273,18
1402,589.12933,12
1404,589.14575,81
1406,589.16669,21
1408,589.17987,33
1410,589.19507,83
1412,589.22357,84
1414,589.22931,21
1416,589.24445,83
1418,589.26776,17
1419,589.27710,17
1421,589.30798,72
1423,589.31335,101
1425,589.32654,96
1427,589.34302,89
1429,589.36810,41
1431,589.37592,75
1433,589.39227,39
1435,589.40894,117
1437,589.42505,85
